CustomerId,Sell,Name,Sex,Age,Sib_Sp,Par_ch,Cost,Delivery Channel,Payment,city
1,0,"Braund, Mr. Owen Harris",male,22,1,0,7.25,,S,Helsinki
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,71.2833,C85,C,Tampere
3,1,"Heikkinen, Miss. Laina",female,26,0,0,7.925,,S,Helsinki
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,53.1,C123,S,Tampere
5,0,"Allen, Mr. William Henry",male,35,0,0,8.05,,S,Helsinki
6,0,"Moran, Mr. James",male,NA,0,0,8.4583,,Q,Helsinki
7,0,"McCarthy, Mr. Timothy J",male,54,0,0,51.8625,E46,S,Tampere
8,0,"Palsson, Master. Gosta Leonard",male,2,3,1,21.075,,S,Helsinki
9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,11.1333,,S,Helsinki
10,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,30.0708,,C,Pori
11,1,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,16.7,G6,S,Helsinki
12,1,"Bonnell, Miss. Elizabeth",female,58,0,0,26.55,C103,S,Tampere
13,0,"Saundercock, Mr. William Henry",male,20,0,0,8.05,,S,Helsinki
14,0,"Andersson, Mr. Anders Johan",male,39,1,5,31.275,,S,Helsinki
15,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,7.8542,,S,Helsinki
16,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,16,,S,Pori
17,0,"Rice, Master. Eugene",male,2,4,1,29.125,,Q,Helsinki
18,1,"Williams, Mr. Charles Eugene",male,NA,0,0,13,,S,Pori
19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,18,,S,Helsinki
20,1,"Masselmani, Mrs. Fatima",female,NA,0,0,7.225,,C,Helsinki
21,0,"Fynney, Mr. Joseph J",male,35,0,0,26,,S,Pori
22,1,"Beesley, Mr. Lawrence",male,34,0,0,13,D56,S,Pori
23,1,"McGowan, Miss. Anna ""Annie""",female,15,0,0,8.0292,,Q,Helsinki
24,1,"Sloper, Mr. William Thompson",male,28,0,0,35.5,A6,S,Tampere
25,0,"Palsson, Miss. Torborg Danira",female,8,3,1,21.075,,S,Helsinki
26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,31.3875,,S,Helsinki
27,0,"Emir, Mr. Farred Chehab",male,NA,0,0,7.225,,C,Helsinki
28,0,"Fortune, Mr. Charles Alexander",male,19,3,2,263,C23 C25 C27,S,Tampere
29,1,"O'Dwyer, Miss. Ellen ""Nellie""",female,NA,0,0,7.8792,,Q,Helsinki
30,0,"Todoroff, Mr. Lalio",male,NA,0,0,7.8958,,S,Helsinki
31,0,"Uruchurtu, Don. Manuel E",male,40,0,0,27.7208,,C,Tampere
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,NA,1,0,146.5208,B78,C,Tampere
33,1,"Glynn, Miss. Mary Agatha",female,NA,0,0,7.75,,Q,Helsinki
34,0,"Wheadon, Mr. Edward H",male,66,0,0,10.5,,S,Pori
35,0,"Meyer, Mr. Edgar Joseph",male,28,1,0,82.1708,,C,Tampere
36,0,"Holverson, Mr. Alexander Oskar",male,42,1,0,52,,S,Tampere
37,1,"Mamee, Mr. Hanna",male,NA,0,0,7.2292,,C,Helsinki
38,0,"Cann, Mr. Ernest Charles",male,21,0,0,8.05,,S,Helsinki
39,0,"Vander Planke, Miss. Augusta Maria",female,18,2,0,18,,S,Helsinki
40,1,"Nicola-Yarred, Miss. Jamila",female,14,1,0,11.2417,,C,Helsinki
41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,9.475,,S,Helsinki
42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,21,,S,Pori
43,0,"Kraeff, Mr. Theodor",male,NA,0,0,7.8958,,C,Helsinki
44,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,41.5792,,C,Pori
45,1,"Devaney, Miss. Margaret Delia",female,19,0,0,7.8792,,Q,Helsinki
46,0,"Rogers, Mr. William John",male,NA,0,0,8.05,,S,Helsinki
47,0,"Lennon, Mr. Denis",male,NA,1,0,15.5,,Q,Helsinki
48,1,"O'Driscoll, Miss. Bridget",female,NA,0,0,7.75,,Q,Helsinki
49,0,"Samaan, Mr. Youssef",male,NA,2,0,21.6792,,C,Helsinki
